"date","death","pm10tmean","pm10","season"
1987-01-01,222,NA,NA,"Winter"
1987-01-02,246,NA,NA,"Winter"
1987-01-03,214,-17.10315342,NA,"Winter"
1987-01-04,208,NA,-17.10315342,"Winter"
1987-01-05,228,NA,NA,"Winter"
1987-01-06,245,NA,NA,"Winter"
1987-01-07,236,NA,NA,"Winter"
1987-01-08,224,NA,NA,"Winter"
1987-01-09,202,1.4561327231,NA,"Winter"
1987-01-10,209,NA,1.4561327231,"Winter"
1987-01-11,226,NA,NA,"Winter"
1987-01-12,224,NA,NA,"Winter"
1987-01-13,224,NA,NA,"Winter"
1987-01-14,239,NA,NA,"Winter"
1987-01-15,226,5.0433816425,NA,"Winter"
1987-01-16,238,NA,5.0433816425,"Winter"
1987-01-17,216,NA,NA,"Winter"
1987-01-18,208,NA,NA,"Winter"
1987-01-19,218,NA,NA,"Winter"
1987-01-20,240,NA,NA,"Winter"
1987-01-21,231,4.7061327231,NA,"Winter"
1987-01-22,221,NA,4.7061327231,"Winter"
1987-01-23,233,NA,NA,"Winter"
1987-01-24,235,NA,NA,"Winter"
1987-01-25,218,NA,NA,"Winter"
1987-01-26,236,NA,NA,"Winter"
1987-01-27,226,1.7211327231,NA,"Winter"
1987-01-28,230,NA,1.7211327231,"Winter"
1987-01-29,226,NA,NA,"Winter"
1987-01-30,219,NA,NA,"Winter"
1987-01-31,235,NA,NA,"Winter"
1987-02-01,189,NA,NA,"Winter"
1987-02-02,234,31.706132723,NA,"Winter"
1987-02-03,260,NA,31.706132723,"Winter"
1987-02-04,226,NA,NA,"Winter"
1987-02-05,225,NA,NA,"Winter"
1987-02-06,213,NA,NA,"Winter"
1987-02-07,215,NA,NA,"Winter"
1987-02-08,214,-3.624736842,NA,"Winter"
1987-02-09,223,NA,-3.624736842,"Winter"
1987-02-10,208,NA,NA,"Winter"
1987-02-11,206,NA,NA,"Winter"
1987-02-12,215,NA,NA,"Winter"
1987-02-13,212,NA,NA,"Winter"
1987-02-14,215,-9.302463768,NA,"Winter"
1987-02-15,187,NA,-9.302463768,"Winter"
1987-02-16,203,NA,NA,"Winter"
1987-02-17,230,NA,NA,"Winter"
1987-02-18,234,NA,NA,"Winter"
1987-02-19,218,NA,NA,"Winter"
1987-02-20,201,-9.778867277,NA,"Winter"
1987-02-21,186,NA,-9.778867277,"Winter"
1987-02-22,215,NA,NA,"Winter"
1987-02-23,248,NA,NA,"Winter"
1987-02-24,220,NA,NA,"Winter"
1987-02-25,194,NA,NA,"Winter"
1987-02-26,181,-9.955533944,NA,"Winter"
1987-02-27,211,NA,-9.955533944,"Winter"
1987-02-28,209,NA,NA,"Winter"
1987-03-01,213,NA,NA,"Winter"
1987-03-02,220,NA,NA,"Winter"
1987-03-03,223,-13.34,NA,"Winter"
1987-03-04,224,-10.49404526,-13.34,"Winter"
1987-03-05,209,NA,-10.49404526,"Winter"
1987-03-06,217,NA,NA,"Winter"
1987-03-07,201,NA,NA,"Winter"
1987-03-08,228,NA,NA,"Winter"
1987-03-09,217,NA,NA,"Winter"
1987-03-10,205,-11.76482009,NA,"Winter"
1987-03-11,197,NA,-11.76482009,"Winter"
1987-03-12,188,NA,NA,"Winter"
1987-03-13,237,NA,NA,"Winter"
1987-03-14,182,NA,NA,"Winter"
1987-03-15,204,NA,NA,"Winter"
1987-03-16,236,-9.956618357,NA,"Winter"
1987-03-17,205,NA,-9.956618357,"Winter"
1987-03-18,213,NA,NA,"Winter"
1987-03-19,201,NA,NA,"Winter"
1987-03-20,225,NA,NA,"Winter"
1987-03-21,180,NA,NA,"Winter"
1987-03-22,207,-22.48536398,NA,"Winter"
1987-03-23,210,NA,-22.48536398,"Winter"
1987-03-24,205,NA,NA,"Winter"
1987-03-25,210,NA,NA,"Winter"
1987-03-26,195,NA,NA,"Winter"
1987-03-27,194,NA,NA,"Winter"
1987-03-28,187,8.4069065467,NA,"Winter"
1987-03-29,202,NA,8.4069065467,"Winter"
1987-03-30,225,NA,NA,"Winter"
1987-03-31,199,NA,NA,"Winter"
1987-04-01,186,NA,NA,"Spring"
1987-04-02,200,NA,NA,"Spring"
1987-04-03,206,-5.353153423,NA,"Spring"
1987-04-04,206,NA,-5.353153423,"Spring"
1987-04-05,200,NA,NA,"Spring"
1987-04-06,195,NA,NA,"Spring"
1987-04-07,236,NA,NA,"Spring"
1987-04-08,204,NA,NA,"Spring"
1987-04-09,221,-12.28995169,NA,"Spring"
1987-04-10,219,NA,-12.28995169,"Spring"
1987-04-11,221,NA,NA,"Spring"
1987-04-12,210,NA,NA,"Spring"
1987-04-13,203,NA,NA,"Spring"
1987-04-14,212,NA,NA,"Spring"
1987-04-15,190,7.3881769641,NA,"Spring"
1987-04-16,207,NA,7.3881769641,"Spring"
1987-04-17,207,NA,NA,"Spring"
1987-04-18,223,NA,NA,"Spring"
1987-04-19,208,NA,NA,"Spring"
1987-04-20,205,NA,NA,"Spring"
1987-04-21,209,-6.91137931,NA,"Spring"
1987-04-22,200,NA,-6.91137931,"Spring"
1987-04-23,214,NA,NA,"Spring"
1987-04-24,184,NA,NA,"Spring"
1987-04-25,185,NA,NA,"Spring"
1987-04-26,183,NA,NA,"Spring"
1987-04-27,192,-11.10315342,NA,"Spring"
1987-04-28,208,NA,-11.10315342,"Spring"
1987-04-29,210,NA,NA,"Spring"
1987-04-30,201,NA,NA,"Spring"
1987-05-01,191,NA,NA,"Spring"
1987-05-02,194,NA,NA,"Spring"
1987-05-03,227,5.0745735027,NA,"Spring"
1987-05-04,196,NA,5.0745735027,"Spring"
1987-05-05,193,NA,NA,"Spring"
1987-05-06,192,NA,NA,"Spring"
1987-05-07,225,NA,NA,"Spring"
1987-05-08,188,NA,NA,"Spring"
1987-05-09,218,2.4475362319,NA,"Spring"
1987-05-10,205,NA,2.4475362319,"Spring"
1987-05-11,216,NA,NA,"Spring"
1987-05-12,215,NA,NA,"Spring"
1987-05-13,204,NA,NA,"Spring"
1987-05-14,199,NA,NA,"Spring"
1987-05-15,220,1.4475362319,NA,"Spring"
1987-05-16,206,NA,1.4475362319,"Spring"
1987-05-17,199,NA,NA,"Spring"
1987-05-18,222,NA,NA,"Spring"
1987-05-19,189,NA,NA,"Spring"
1987-05-20,186,NA,NA,"Spring"
1987-05-21,164,0.5745735027,NA,"Spring"
1987-05-22,201,NA,0.5745735027,"Spring"
1987-05-23,211,NA,NA,"Spring"
1987-05-24,201,NA,NA,"Spring"
1987-05-25,193,NA,NA,"Spring"
1987-05-26,188,NA,NA,"Spring"
1987-05-27,210,-5.205533944,NA,"Spring"
1987-05-28,225,NA,-5.205533944,"Spring"
1987-05-29,214,NA,NA,"Spring"
1987-05-30,233,NA,NA,"Spring"
1987-05-31,265,NA,NA,"Spring"
1987-06-01,238,NA,NA,"Spring"
1987-06-02,265,22.181302682,NA,"Spring"
1987-06-03,207,NA,22.181302682,"Spring"
1987-06-04,196,NA,NA,"Spring"
1987-06-05,190,NA,NA,"Spring"
1987-06-06,216,NA,NA,"Spring"
1987-06-07,210,NA,NA,"Spring"
1987-06-08,195,31.977209115,NA,"Spring"
1987-06-09,192,NA,31.977209115,"Spring"
1987-06-10,205,NA,NA,"Spring"
1987-06-11,204,NA,NA,"Spring"
1987-06-12,208,NA,NA,"Spring"
1987-06-13,194,NA,NA,"Spring"
1987-06-14,199,1.2488888889,NA,"Spring"
1987-06-15,188,NA,1.2488888889,"Spring"
1987-06-16,216,NA,NA,"Spring"
1987-06-17,199,NA,NA,"Spring"
1987-06-18,189,NA,NA,"Spring"
1987-06-19,210,NA,NA,"Spring"
1987-06-20,209,42.043333333,NA,"Spring"
1987-06-21,196,NA,42.043333333,"Spring"
1987-06-22,215,NA,NA,"Spring"
1987-06-23,217,NA,NA,"Spring"
1987-06-24,179,NA,NA,"Spring"
1987-06-25,197,NA,NA,"Spring"
1987-06-26,207,-4.751111111,NA,"Spring"
1987-06-27,167,NA,-4.751111111,"Spring"
1987-06-28,174,NA,NA,"Spring"
1987-06-29,178,NA,NA,"Spring"
1987-06-30,179,NA,NA,"Spring"
1987-07-01,194,NA,NA,"Summer"
1987-07-02,186,2.8479693487,NA,"Summer"
1987-07-03,187,NA,2.8479693487,"Summer"
1987-07-04,202,NA,NA,"Summer"
1987-07-05,183,NA,NA,"Summer"
1987-07-06,176,NA,NA,"Summer"
1987-07-07,182,NA,NA,"Summer"
1987-07-08,181,7.6779661017,NA,"Summer"
1987-07-09,205,NA,7.6779661017,"Summer"
1987-07-10,220,NA,NA,"Summer"
1987-07-11,216,NA,NA,"Summer"
1987-07-12,208,NA,NA,"Summer"
1987-07-13,219,NA,NA,"Summer"
1987-07-14,207,14.155884075,NA,"Summer"
1987-07-15,186,NA,14.155884075,"Summer"
1987-07-16,194,NA,NA,"Summer"
1987-07-17,155,NA,NA,"Summer"
1987-07-18,198,NA,NA,"Summer"
1987-07-19,230,NA,NA,"Summer"
1987-07-20,207,37.177688247,NA,"Summer"
1987-07-21,221,NA,37.177688247,"Summer"
1987-07-22,176,NA,NA,"Summer"
1987-07-23,191,NA,NA,"Summer"
1987-07-24,211,NA,NA,"Summer"
1987-07-25,236,NA,NA,"Summer"
1987-07-26,202,5.3088512241,NA,"Summer"
1987-07-27,234,NA,5.3088512241,"Summer"
1987-07-28,197,NA,NA,"Summer"
1987-07-29,191,NA,NA,"Summer"
1987-07-30,200,NA,NA,"Summer"
1987-07-31,183,NA,NA,"Summer"
1987-08-01,173,-5.575110836,NA,"Summer"
1987-08-02,219,NA,-5.575110836,"Summer"
1987-08-03,218,NA,NA,"Summer"
1987-08-04,190,NA,NA,"Summer"
1987-08-05,194,NA,NA,"Summer"
1987-08-06,166,NA,NA,"Summer"
1987-08-07,170,-1.765447667,NA,"Summer"
1987-08-08,181,NA,-1.765447667,"Summer"
1987-08-09,169,NA,NA,"Summer"
1987-08-10,199,NA,NA,"Summer"
1987-08-11,209,NA,NA,"Summer"
1987-08-12,186,NA,NA,"Summer"
1987-08-13,178,-7.442301511,NA,"Summer"
1987-08-14,183,NA,-7.442301511,"Summer"
1987-08-15,192,NA,NA,"Summer"
1987-08-16,179,NA,NA,"Summer"
1987-08-17,207,NA,NA,"Summer"
1987-08-18,214,NA,NA,"Summer"
1987-08-19,192,10.736271186,NA,"Summer"
1987-08-20,179,NA,10.736271186,"Summer"
1987-08-21,172,NA,NA,"Summer"
1987-08-22,222,NA,NA,"Summer"
1987-08-23,186,NA,NA,"Summer"
1987-08-24,216,NA,NA,"Summer"
1987-08-25,198,-0.081855693,NA,"Summer"
1987-08-26,182,NA,-0.081855693,"Summer"
1987-08-27,169,NA,NA,"Summer"
1987-08-28,195,NA,NA,"Summer"
1987-08-29,168,NA,NA,"Summer"
1987-08-30,189,NA,NA,"Summer"
1987-08-31,186,-12.15198087,NA,"Summer"
1987-09-01,190,NA,-12.15198087,"Summer"
1987-09-02,180,NA,NA,"Summer"
1987-09-03,184,NA,NA,"Summer"
1987-09-04,191,NA,NA,"Summer"
1987-09-05,212,NA,NA,"Summer"
1987-09-06,229,-11.64503643,NA,"Summer"
1987-09-07,178,NA,-11.64503643,"Summer"
1987-09-08,190,NA,NA,"Summer"
1987-09-09,212,NA,NA,"Summer"
1987-09-10,182,NA,NA,"Summer"
1987-09-11,178,NA,NA,"Summer"
1987-09-12,175,-14.87613843,NA,"Summer"
1987-09-13,189,NA,-14.87613843,"Summer"
1987-09-14,197,NA,NA,"Summer"
1987-09-15,188,NA,NA,"Summer"
1987-09-16,195,NA,NA,"Summer"
1987-09-17,198,NA,NA,"Summer"
1987-09-18,186,-8.370673953,NA,"Summer"
1987-09-19,206,NA,-8.370673953,"Summer"
1987-09-20,202,NA,NA,"Summer"
1987-09-21,177,NA,NA,"Summer"
1987-09-22,215,NA,NA,"Summer"
1987-09-23,209,NA,NA,"Summer"
1987-09-24,202,1.3151555704,NA,"Summer"
1987-09-25,194,NA,1.3151555704,"Summer"
1987-09-26,189,NA,NA,"Summer"
1987-09-27,215,NA,NA,"Summer"
1987-09-28,227,NA,NA,"Summer"
1987-09-29,217,NA,NA,"Summer"
1987-09-30,192,0.7523071223,NA,"Summer"
1987-10-01,193,NA,0.7523071223,"Fall"
1987-10-02,215,NA,NA,"Fall"
1987-10-03,223,NA,NA,"Fall"
1987-10-04,198,NA,NA,"Fall"
1987-10-05,219,NA,NA,"Fall"
1987-10-06,222,6.6659016393,NA,"Fall"
